productId,name,productFamily,active,candidateCapabilities,relationTypes,confidence,evidence,coverageStatus,reviewReason
1611,Par Calleras Stone 2.0 Sin Orificios Magenta | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
1823,Core Roller | Rising,,true,,,,,INSUFFICIENT_EVIDENCE,
1712,2da Selección - Set 50kg Maletí­n Cast Iron,,,,,,,UNMODELED,
250,Landmine (Accesorio Jaula Hell - MJHWM2) | HWM,MACHINE_ATTACHMENT,false,,,,,NO_CAPABILITY_APPLICABLE,
1864,2da Selección - Set 20kg Maletín Cast Iron,,,,,,,UNMODELED,
1277,Banco Olímpico Inclinado MO 2.0 | Obelix®,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
335,Pack Grip 105kg,,,,,,,NO_CAPABILITY_APPLICABLE,
1607,Par Calleras Essentials 3 Orificios Rosado/Negro | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
1524,Par Discos Calibrados Powerlifting 25kg Rojo | XMASTER,WEIGHT_PLATE,true,,,,,UNMODELED,
195,Kettlebell de Vinilo 16kg,KETTLEBELL,true,,,,,UNMODELED,
1811,Polea Crossover Accesorio Delta | HWM®,CABLE_MACHINE,true,,,,,NO_CAPABILITY_APPLICABLE,
1613,Par Calleras Stone 2.0 Sin Orificios Negro | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
326,Par Bumper Plates Competición 25kg | HWM®,WEIGHT_PLATE,true,,,,,UNMODELED,
1263,Collarines Olímpicos Competición (Par) | XMASTER,MACHINE_ATTACHMENT,true,,,,,UNMODELED,
1752,Par Mancuernas de Neopreno 2kg Celeste | FullFit,DUMBBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
1265,Press de Pectoral MO 2.0 Obelix®,SELECTORIZED_MACHINE,true,CHEST_PRESS,DIRECT,EXPLICIT,NAME:NAME:press de pectoral:NAME_CHEST_PRESS_EXPLICIT_V1:,UNMODELED,
1588,Cinturón de Levantamiento Bloody | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
1185,Chaleco de Lastre Running 10kg | HWM®,,true,,,,,UNMODELED,
140,Par Discos Preolímpicos 1kg | Barbell,WEIGHT_PLATE,true,,,,,NO_CAPABILITY_APPLICABLE,
312,Pack 4 Balones Medicinales | HWM®,BALL_BAG,false,,,,,UNMODELED,
1130,Par Correas de Levantamiento V-Lifting Straps Negro | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
1259,Par Discos Olímpicos Rubber Hand Grip 20kg | XMASTER,WEIGHT_PLATE,true,,,,,NO_CAPABILITY_APPLICABLE,
644,Pack 10 Pares De Mancuernas HWM Deluxe Pvc + Rack HWM,DUMBBELL,false,,,,,NO_CAPABILITY_APPLICABLE,
65,Balón Medicinal 12kg Black Series | HWM®,BALL_BAG,true,,,,,UNMODELED,
1139,Par Ankle Straps Diamond | FullFit,MACHINE_ATTACHMENT,true,,,,,UNMODELED,
1137,Par Ankle Straps Skull | FullFit,MACHINE_ATTACHMENT,true,,,,,UNMODELED,
643,Pack 10 Pares de Mancuernas Black + Rack | HWM,DUMBBELL,false,,,,,NO_CAPABILITY_APPLICABLE,
1515,Banco Sissy Squat MO 2.0 | Obelix®,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,SQUAT: Candidate capability is deferred from Training Semantics V1.
1439,Sand Bag Training 10kg | HWM®,BALL_BAG,true,,,,,UNMODELED,
61,Balón Medicinal 3kg Black Series | HWM®,BALL_BAG,true,,,,,UNMODELED,
1606,Par Calleras Essentials 3 Orificios Negro/Rojo | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
388,Par Push Ups 1.0 | FullFit,,true,DIP,DIRECT,HIGH,TRUSTED_CATEGORY:430:Barras Paralelas:CATEGORY_NAME_DIP_DIRECT_EXPLICIT_V1:SEMANTIC_STRONG,UNMODELED,
1933,Pack 245Lbs Cast Iron | Barbell Standard,WEIGHT_PLATE,true,,,,,NO_CAPABILITY_APPLICABLE,
347,Pack 60kg Kettlebells Acero | HWM,KETTLEBELL,false,,,,,UNMODELED,
477,Squat Rack V8 Series | Obelix,RACK_CAGE,false,,,,,UNMODELED,SQUAT: Candidate capability is deferred from Training Semantics V1.
246,Spotter Arms (Par) (Accesorio Jaula Hell - MJHWM2) | HWM,MACHINE_ATTACHMENT,false,,,,,NO_CAPABILITY_APPLICABLE,
1140,Par Ankle Straps Camo | FullFit,MACHINE_ATTACHMENT,true,,,,,UNMODELED,
1174,Slam Ball Smooth 80lbs | HWM,BALL_BAG,true,,,,,UNMODELED,
1350,"Barra Pulldown ""D"" Grip - Accesorio Polea | Obelix",CABLE_MACHINE,true,,,,,NO_CAPABILITY_APPLICABLE,
1341,Banda de Resistencia Super Heavy 83mm 230lbs Naranjo | HWM,BAND_SUSPENSION,true,,,,,NO_CAPABILITY_APPLICABLE,
1356,Strongman Sandbag 80lbs (Sin relleno) | KONG,BALL_BAG,true,,,,,UNMODELED,
310,Pack 150kg Classic Black + Elite 20kg | HWM®,,false,,,,,UNMODELED,
483,Banco Vertical V8 Series | Obelix,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
1442,Sand Bag Training 25kg | HWM®,BALL_BAG,true,,,,,UNMODELED,
1528,Par Discos Powerlifting Premium Grip 20kg | XMASTER,WEIGHT_PLATE,true,,,,,NO_CAPABILITY_APPLICABLE,
248,Banco Hip Thrust (Accesorio Jaula Hell - MJHWM2) | HWM,RACK_CAGE,false,,,,,NO_CAPABILITY_APPLICABLE,
76,Cinturón Lumbar Black/Pink c/velcro | FullFit,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
1033,Shaker PVC 600ml Negro | HWM®,,true,,,,,UNMODELED,
1610,Par Calleras Phanter Sin Orificios | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
1813,Polea Alta/Remo Accesorio Delta | HWM®,CABLE_MACHINE,true,,,,,NO_CAPABILITY_APPLICABLE,
641,Pack 19kg Discos Eco + Barras Mancuerna de Acero (Par),WEIGHT_PLATE,false,,,,,NO_CAPABILITY_APPLICABLE,
